observation_id,station_id,observed_at_utc,pm25,pm10,no2,so2,co,o3,source
24cbf22d-c4ca-4cd8-804f-762b7834021f,bangkok_thailand,2023-03-19 00:00:00+00:00,86.57,25.19,99.88,30.63,4.46,36.29,kaggle
0b608f0f-f603-447a-8cee-4ed2e055550c,istanbul_turkey,2023-02-16 00:00:00+00:00,50.63,97.39,48.14,8.71,3.4,144.16,kaggle
b7a1c9d3-b10f-4eb0-8764-4afd669f3ef2,rio_de_janeiro_brazil,2023-11-13 00:00:00+00:00,130.21,57.22,98.51,9.92,0.12,179.31,kaggle
39e3bac1-d280-4400-bf99-330d34f67592,mumbai_india,2023-03-16 00:00:00+00:00,119.7,130.52,10.96,33.03,7.74,38.65,kaggle
6501b575-6a4b-4286-8b94-85e62f3cee32,paris_france,2023-04-04 00:00:00+00:00,55.2,36.62,76.85,21.85,2.0,67.09,kaggle
2b680148-0d09-4d95-b5a3-3dbf13ae76e2,los_angeles_usa,2023-01-05 00:00:00+00:00,121.28,196.39,86.17,28.74,2.64,46.86,kaggle
83b31e4f-715d-4038-aac3-63330d7cf860,tokyo_japan,2023-09-17 00:00:00+00:00,118.76,15.69,12.99,39.05,3.04,15.75,kaggle
66a5e559-fa87-4b2c-b8a3-8b6bc75f9dc4,new_york_usa,2023-11-23 00:00:00+00:00,72.52,23.43,92.01,15.26,4.57,106.5,kaggle
1327a049-ba47-4ef6-b3b4-a09a49d0a6a5,tokyo_japan,2023-09-21 00:00:00+00:00,131.46,145.57,10.13,25.1,9.08,181.72,kaggle
65cd650f-2cf7-485d-b514-53df82415dad,london_uk,2023-09-13 00:00:00+00:00,64.71,92.84,92.98,36.4,3.68,88.44,kaggle
45cd88cc-285c-44bc-a8a8-8c1f0fb03e1b,rio_de_janeiro_brazil,2023-09-11 00:00:00+00:00,90.0,198.93,38.1,31.19,8.11,26.21,kaggle
4c59170a-e545-4841-9fc9-9874f930196f,rio_de_janeiro_brazil,2023-04-26 00:00:00+00:00,17.13,139.82,73.14,15.31,1.09,140.73,kaggle
be1ca74a-e1e7-4f2d-8117-703c3c94c314,mumbai_india,2023-08-28 00:00:00+00:00,65.36,133.71,67.95,22.34,7.46,156.39,kaggle
